RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Dellin Betances,NYY,1,0,0.2,0,0,0,0,2,0,0,0,0,0.0,0.00,0.00
 ,Donnie Hart,MIL/NYM,5,0,7.2,4,0,0,4,3,0,0,0,0,0.3,1.04,0.00
 ,Donnie Hart,MIL/NYM,5,0,7.2,4,0,0,4,3,0,0,0,0,0.3,1.04,0.00
 ,Donnie Hart,MIL/NYM,5,0,7.2,4,0,0,4,3,0,0,0,0,0.3,1.04,0.00
 ,Donnie Hart,MIL/NYM,5,0,7.2,4,0,0,4,3,0,0,0,0,0.3,1.04,0.00
 ,Donnie Hart,MIL/NYM,5,0,7.2,4,0,0,4,3,0,0,0,0,0.3,1.04,0.00
